Stock,Call Wall → Close,Put Wall → Close,Gamma Flip → Close,Put Dominate → Close,Call Dominate → Close
SPX,33.3,60.0,64.7,54.5,58.3
QQQ,80.0,40.0,78.6,40.0,75.0
SPY,71.4,40.0,64.3,62.5,50.0
IWM,60.0,66.7,37.5,44.4,60.0
AAPL,81.8,87.5,60.0,75.0,83.3
NVDA,66.7,60.0,83.3,87.5,54.5
MSFT,42.9,66.7,50.0,50.0,55.6
AMZN,62.5,50.0,50.0,42.9,60.0
META,77.8,80.0,91.7,75.0,62.5
TSLA,33.3,0.0,22.2,0.0,37.5
GOOGL,42.9,42.9,66.7,60.0,66.7
TSM,37.5,40.0,75.0,66.7,0.0
AVGO,33.3,33.3,33.3,33.3,0.0
SOXX,100.0,75.0,100.0,50.0,0.0
SMH,66.7,0.0,100.0,33.3,100.0
FXI,85.7,50.0,100.0,100.0,66.7
KWEB,50.0,75.0,0.0,0.0,50.0
IGV,0.0,100.0,0.0,0.0,0.0
AMD,50.0,50.0,37.5,55.6,75.0
ASML,33.3,63.6,46.2,60.0,80.0
LLY,63.6,20.0,54.5,62.5,50.0
NVO,25.0,20.0,0.0,25.0,60.0
FORM,100.0,100.0,100.0,0.0,
NVDL,50.0,75.0,40.0,50.0,50.0
NXPI,75.0,50.0,28.6,50.0,100.0
NU,100.0,0.0,25.0,33.3,60.0
SMCI,63.6,57.1,46.2,50.0,54.5
ACN,80.0,75.0,0.0,40.0,0.0
COIN,37.5,22.2,50.0,0.0,66.7
CELH,66.7,50.0,66.7,50.0,50.0
